Model: /home/sysmanager/customer/Desktop/ZZ/anomaly/CostFilterAD/Costfilter_Dinomaly/checkpoint_paths/mvtecad0.0001/costfilter_dinaomaly_mvtecad.pth
carpet: I-Auroc:0.9980, I-AP:0.9994, I-F1:0.9888, P-AUROC:0.9945, P-AP:0.7511, P-F1:0.7502, P-AUPRO:0.9799

grid: I-Auroc:0.9967, I-AP:0.9988, I-F1:0.9912, P-AUROC:0.9954, P-AP:0.6264, P-F1:0.6368, P-AUPRO:0.9801

leather: I-Auroc:1.0000, I-AP:1.0000, I-F1:1.0000, P-AUROC:0.9954, P-AP:0.6292, P-F1:0.6242, P-AUPRO:0.9801

tile: I-Auroc:1.0000, I-AP:1.0000, I-F1:1.0000, P-AUROC:0.9901, P-AP:0.8838, P-F1:0.8302, P-AUPRO:0.9549

wood: I-Auroc:0.9956, I-AP:0.9986, I-F1:0.9836, P-AUROC:0.9831, P-AP:0.8278, P-F1:0.7480, P-AUPRO:0.9607

bottle: I-Auroc:1.0000, I-AP:1.0000, I-F1:1.0000, P-AUROC:0.9939, P-AP:0.9166, P-F1:0.8622, P-AUPRO:0.9702

cable: I-Auroc:0.9998, I-AP:0.9999, I-F1:0.9946, P-AUROC:0.9865, P-AP:0.7542, P-F1:0.7471, P-AUPRO:0.9424

capsule: I-Auroc:0.9781, I-AP:0.9953, I-F1:0.9730, P-AUROC:0.9875, P-AP:0.6426, P-F1:0.6124, P-AUPRO:0.9708

hazelnut: I-Auroc:1.0000, I-AP:1.0000, I-F1:1.0000, P-AUROC:0.9964, P-AP:0.8958, P-F1:0.8273, P-AUPRO:0.9774

metal_nut: I-Auroc:1.0000, I-AP:1.0000, I-F1:1.0000, P-AUROC:0.9820, P-AP:0.8799, P-F1:0.9005, P-AUPRO:0.9651

pill: I-Auroc:0.9926, I-AP:0.9987, I-F1:0.9858, P-AUROC:0.9811, P-AP:0.8211, P-F1:0.7493, P-AUPRO:0.9789

screw: I-Auroc:0.9846, I-AP:0.9950, I-F1:0.9607, P-AUROC:0.9965, P-AP:0.6312, P-F1:0.5932, P-AUPRO:0.9838

toothbrush: I-Auroc:1.0000, I-AP:1.0000, I-F1:1.0000, P-AUROC:0.9915, P-AP:0.6101, P-F1:0.6774, P-AUPRO:0.9538

transistor: I-Auroc:0.9938, I-AP:0.9898, I-F1:0.9750, P-AUROC:0.9317, P-AP:0.6228, P-F1:0.5898, P-AUPRO:0.7597

zipper: I-Auroc:1.0000, I-AP:1.0000, I-F1:1.0000, P-AUROC:0.9943, P-AP:0.8464, P-F1:0.7821, P-AUPRO:0.9765

Total testing time: 722.52 seconds
Mean: I-Auroc:0.9959, I-AP:0.9984, I-F1:0.9902, P-AUROC:0.9867, P-AP:0.7559, P-F1:0.7287, P-AUPRO:0.9556

