Model: /home/sysmanager/customer/Desktop/ZZ/anomaly/CostFilterAD/Costfilter_Dinomaly/checkpoint_paths/visaad0.0001/costfilter_dinaomaly_visa.pth
candle: I-Auroc:0.9841, I-AP:0.9797, I-F1:0.9500, P-AUROC:0.9944, P-AP:0.5400, P-F1:0.5584, P-AUPRO:0.9540

capsules: I-Auroc:0.9800, I-AP:0.9862, I-F1:0.9659, P-AUROC:0.9962, P-AP:0.7109, P-F1:0.6922, P-AUPRO:0.9639

cashew: I-Auroc:0.9866, I-AP:0.9943, I-F1:0.9703, P-AUROC:0.9751, P-AP:0.7822, P-F1:0.7489, P-AUPRO:0.9403

chewinggum: I-Auroc:0.9970, I-AP:0.9985, I-F1:0.9804, P-AUROC:0.9912, P-AP:0.7518, P-F1:0.7355, P-AUPRO:0.8762

fryum: I-Auroc:0.9888, I-AP:0.9945, I-F1:0.9648, P-AUROC:0.9660, P-AP:0.5401, P-F1:0.5374, P-AUPRO:0.9349

macaroni1: I-Auroc:0.9833, I-AP:0.9773, I-F1:0.9548, P-AUROC:0.9971, P-AP:0.4150, P-F1:0.4584, P-AUPRO:0.9657

macaroni2: I-Auroc:0.9594, I-AP:0.9519, I-F1:0.9171, P-AUROC:0.9977, P-AP:0.3571, P-F1:0.4247, P-AUPRO:0.9850

pcb1: I-Auroc:0.9910, I-AP:0.9907, I-F1:0.9659, P-AUROC:0.9941, P-AP:0.8850, P-F1:0.8200, P-AUPRO:0.9367

pcb2: I-Auroc:0.9959, I-AP:0.9956, I-F1:0.9852, P-AUROC:0.9875, P-AP:0.4654, P-F1:0.4622, P-AUPRO:0.9299

pcb3: I-Auroc:0.9924, I-AP:0.9923, I-F1:0.9655, P-AUROC:0.9834, P-AP:0.3854, P-F1:0.4077, P-AUPRO:0.9416

pcb4: I-Auroc:0.9978, I-AP:0.9979, I-F1:0.9798, P-AUROC:0.9840, P-AP:0.5384, P-F1:0.5596, P-AUPRO:0.9404

pipe_fryum: I-Auroc:0.9932, I-AP:0.9969, I-F1:0.9751, P-AUROC:0.9950, P-AP:0.8184, P-F1:0.7777, P-AUPRO:0.9574

Total testing time: 812.37 seconds
Mean: I-Auroc:0.9875, I-AP:0.9880, I-F1:0.9646, P-AUROC:0.9885, P-AP:0.5991, P-F1:0.5986, P-AUPRO:0.9438

